"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"2016-06-09 12:48","",
"P","2016-06-09T16:48:20Z","38.243971","-85.508038","201.89999389648438","343.6000061035156","3.0","3.799999952316284",,,"0"
"P","2016-06-09T16:48:40Z","38.244147","-85.508126","197.60000610351563","325.8999938964844","1.5","1.7999999523162842",,,"0"
"P","2016-06-09T16:48:48Z","38.244037","-85.508317","196.6999969482422","216.1999969482422","1.2247449159622192","3.299999952316284",,,"0"
"P","2016-06-09T16:49:00Z","38.243932","-85.508526","196.89999389648438","303.0","3.0","4.300000190734863",,,"0"
"P","2016-06-09T16:49:04Z","38.244093","-85.508683","195.6999969482422","331.20001220703125","3.0","6.300000190734863",,,"0"
"P","2016-06-09T16:49:07Z","38.244278","-85.508686","195.1999969482422","15.800000190734863","2.0","7.900000095367432",,,"0"
"P","2016-06-09T16:49:10Z","38.244482","-85.508545","191.8000030517578","29.399999618530273","2.0","9.699999809265137",,,"0"
"P","2016-06-09T16:49:13Z","38.244726","-85.508375","188.6999969482422","19.0","2.0","11.199999809265137",,,"0"
"P","2016-06-09T16:49:15Z","38.244923","-85.508351","188.8000030517578","1.600000023841858","2.0","11.300000190734863",,,"0"
"P","2016-06-09T16:49:17Z","38.24513","-85.508396","188.5","346.8999938964844","1.7320507764816284","11.600000381469727",,,"0"
"P","2016-06-09T16:49:19Z","38.24533","-85.508478","187.1999969482422","340.70001220703125","1.5","10.899999618530273",,,"0"
"P","2016-06-09T16:49:22Z","38.245568","-85.508582","186.6999969482422","343.6000061035156","1.5","6.599999904632568",,,"0"
"P","2016-06-09T16:49:27Z","38.245763","-85.508708","187.89999389648438","318.6000061035156","3.0","4.099999904632568",,,"0"
"P","2016-06-09T16:49:31Z","38.245743","-85.509016","187.6999969482422","258.20001220703125","3.464101552963257","7.5",,,"0"
"P","2016-06-09T16:49:34Z","38.245678","-85.509314","187.39999389648438","255.39999389648438","3.464101552963257","9.100000381469727",,,"0"
"P","2016-06-09T16:49:37Z","38.245628","-85.509569","187.3000030517578","256.70001220703125","3.464101552963257","7.699999809265137",,,"0"
"P","2016-06-09T16:49:41Z","38.245571","-85.509787","188.39999389648438","254.39999389648438","4.242640495300293","4.099999904632568",,,"0"
"P","2016-06-09T16:50:06Z","38.245515","-85.510043","192.5","253.10000610351563","2.4494898319244385","4.300000190734863",,,"0"
"P","2016-06-09T16:50:10Z","38.245458","-85.510331","192.5","254.3000030517578","2.0","6.400000095367432",,,"0"
"P","2016-06-09T16:50:15Z","38.245323","-85.510555","193.10000610351563","198.89999389648438","2.4494898319244385","6.0",,,"0"
"P","2016-06-09T16:50:18Z","38.245138","-85.510552","193.5","163.89999389648438","1.7320507764816284","7.300000190734863",,,"0"
"P","2016-06-09T16:50:21Z","38.244909","-85.510485","194.5","163.0","1.5","9.699999809265137",,,"0"
"P","2016-06-09T16:50:22Z","38.244718","-85.510415","194.5","163.1999969482422","1.2247449159622192","11.300000190734863",,,"0"
"P","2016-06-09T16:50:25Z","38.244512","-85.510344","194.60000610351563","163.39999389648438","1.2247449159622192","12.199999809265137",,,"0"
"P","2016-06-09T16:50:27Z","38.244303","-85.510271","194.60000610351563","163.0","1.0","12.0",,,"0"
"P","2016-06-09T16:50:28Z","38.244098","-85.510193","194.1999969482422","162.89999389648438","1.0","11.899999618530273",,,"0"
"P","2016-06-09T16:50:30Z","38.24389","-85.510115","193.8000030517578","163.1999969482422","1.0","11.899999618530273",,,"0"
"P","2016-06-09T16:50:32Z","38.243685","-85.510039","193.6999969482422","163.39999389648438","1.0","11.899999618530273",,,"0"
"P","2016-06-09T16:50:34Z","38.243479","-85.509962","193.6999969482422","163.6999969482422","1.0","11.899999618530273",,,"0"
"P","2016-06-09T16:50:36Z","38.243272","-85.509891","193.1999969482422","164.1999969482422","1.2247449159622192","11.5",,,"0"
"P","2016-06-09T16:50:38Z","38.243058","-85.509818","194.10000610351563","166.39999389648438","1.7320507764816284","10.800000190734863",,,"0"
"P","2016-06-09T16:50:41Z","38.242812","-85.509765","192.3000030517578","170.89999389648438","1.7320507764816284","8.600000381469727",,,"0"
"P","2016-06-09T16:50:45Z","38.242655","-85.509921","191.60000610351563","258.0","1.7320507764816284","6.900000095367432",,,"0"
"P","2016-06-09T16:50:49Z","38.242687","-85.510299","190.8000030517578","277.3999938964844","1.5","10.300000190734863",,,"0"
"P","2016-06-09T16:50:52Z","38.242713","-85.510668","193.60000610351563","274.8999938964844","3.0","11.899999618530273",,,"0"
"P","2016-06-09T16:50:54Z","38.242745","-85.510977","194.3000030517578","276.5","3.0","13.0",,,"0"
