"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"Home To Work Via 146 Hurstbourne","",
"P","2017-05-11T12:25:09Z","38.301286","-85.472193","181.39999389648438","298.0","1.5","6.599999904632568",,,"0"
"P","2017-05-11T12:25:12Z","38.301401","-85.472473","182.1999969482422","295.29998779296875","1.7320507764816284","8.800000190734863",,,"0"
"P","2017-05-11T12:25:14Z","38.301467","-85.472689","183.1999969482422","293.8999938964844","1.7320507764816284","9.600000381469727",,,"0"
"P","2017-05-11T12:25:16Z","38.301524","-85.472927","182.60000610351563","292.20001220703125","2.1213202476501465","10.300000190734863",,,"0"
"P","2017-05-11T12:25:18Z","38.3016","-85.473158","183.5","292.20001220703125","2.4494898319244385","10.600000381469727",,,"0"
"P","2017-05-11T12:25:20Z","38.301675","-85.473378","181.60000610351563","293.20001220703125","2.4494898319244385","10.100000381469727",,,"0"
"P","2017-05-11T12:25:22Z","38.301768","-85.47362","181.8000030517578","294.5","1.7320507764816284","10.300000190734863",,,"0"
"P","2017-05-11T12:25:24Z","38.301872","-85.473847","181.89999389648438","296.1000061035156","1.7320507764816284","10.899999618530273",,,"0"
"P","2017-05-11T12:25:26Z","38.30195","-85.474097","181.10000610351563","292.3999938964844","2.1213202476501465","10.899999618530273",,,"0"
"P","2017-05-11T12:25:28Z","38.302019","-85.474334","181.5","292.8999938964844","2.1213202476501465","10.699999809265137",,,"0"
"P","2017-05-11T12:25:30Z","38.302097","-85.474543","181.8000030517578","293.5","2.4494898319244385","10.199999809265137",,,"0"
"P","2017-05-11T12:25:33Z","38.302162","-85.474801","182.5","292.79998779296875","2.1213202476501465","7.5",,,"0"
"P","2017-05-11T12:25:38Z","38.302287","-85.475019","184.6999969482422","333.8999938964844","2.1213202476501465","3.700000047683716",,,"0"
"P","2017-05-11T12:25:41Z","38.302466","-85.474943","185.8000030517578","20.600000381469727","1.7320507764816284","6.599999904632568",,,"0"
"P","2017-05-11T12:25:44Z","38.302681","-85.474815","186.0","25.299999237060547","1.7320507764816284","8.899999618530273",,,"0"
"P","2017-05-11T12:25:47Z","38.302879","-85.474687","187.6999969482422","27.799999237060547","1.7320507764816284","7.900000095367432",,,"0"
"P","2017-05-11T12:25:50Z","38.303062","-85.474566","189.1999969482422","28.799999237060547","2.1213202476501465","6.199999809265137",,,"0"
"P","2017-05-11T12:25:55Z","38.303254","-85.474502","188.39999389648438","5.900000095367432","2.1213202476501465","3.299999952316284",,,"0"
"P","2017-05-11T12:25:59Z","38.303386","-85.474668","188.0","305.29998779296875","2.1213202476501465","5.800000190734863",,,"0"
"P","2017-05-11T12:26:03Z","38.303512","-85.475022","187.6999969482422","295.29998779296875","2.4494898319244385","8.199999809265137",,,"0"
"P","2017-05-11T12:26:06Z","38.303572","-85.475322","187.8000030517578","289.1000061035156","2.1213202476501465","8.699999809265137",,,"0"
"P","2017-05-11T12:26:09Z","38.303646","-85.475612","188.8000030517578","289.1000061035156","1.7320507764816284","7.800000190734863",,,"0"
"P","2017-05-11T12:26:12Z","38.303707","-85.475851","188.3000030517578","287.70001220703125","1.2247449159622192","7.300000190734863",,,"0"
"P","2017-05-11T12:26:15Z","38.303794","-85.476113","189.39999389648438","287.5","1.2247449159622192","8.699999809265137",,,"0"
"P","2017-05-11T12:26:17Z","38.303858","-85.476352","191.1999969482422","291.0","1.2247449159622192","10.5",,,"0"
"P","2017-05-11T12:26:19Z","38.303946","-85.476586","190.8000030517578","293.6000061035156","1.5","11.300000190734863",,,"0"
"P","2017-05-11T12:26:21Z","38.304034","-85.476838","190.5","294.3999938964844","1.7320507764816284","11.399999618530273",,,"0"
"P","2017-05-11T12:26:23Z","38.304154","-85.477053","190.89999389648438","304.1000061035156","2.1213202476501465","11.0",,,"0"
"P","2017-05-11T12:26:25Z","38.304286","-85.477216","191.39999389648438","313.20001220703125","2.1213202476501465","10.199999809265137",,,"0"
"P","2017-05-11T12:26:27Z","38.304444","-85.477343","191.8000030517578","321.29998779296875","2.1213202476501465","9.899999618530273",,,"0"
"P","2017-05-11T12:26:30Z","38.304658","-85.477526","192.89999389648438","325.20001220703125","2.1213202476501465","9.0",,,"0"
"P","2017-05-11T12:26:33Z","38.304823","-85.477633","194.10000610351563","333.79998779296875","2.1213202476501465","6.800000190734863",,,"0"
"P","2017-05-11T12:26:39Z","38.304857","-85.477898","196.5","237.39999389648438","1.5","5.900000095367432",,,"0"
"P","2017-05-11T12:26:44Z","38.304632","-85.478271","198.6999969482422","234.39999389648438","2.1213202476501465","10.800000190734863",,,"0"
"P","2017-05-11T12:26:46Z","38.304485","-85.478511","199.10000610351563","234.1999969482422","2.1213202476501465","12.399999618530273",,,"0"
"P","2017-05-11T12:26:48Z","38.304286","-85.478756","198.39999389648438","229.1999969482422","1.7320507764816284","14.0",,,"0"
"P","2017-05-11T12:26:50Z","38.304112","-85.478998","198.60000610351563","227.8000030517578","1.7320507764816284","13.800000190734863",,,"0"
"P","2017-05-11T12:26:52Z","38.303949","-85.479249","198.3000030517578","229.0","2.1213202476501465","14.0",,,"0"
"P","2017-05-11T12:26:54Z","38.303796","-85.47951","198.10000610351563","228.39999389648438","4.898979663848877","14.5",,,"0"
"P","2017-05-11T12:26:55Z","38.303606","-85.479723","197.10000610351563","227.1999969482422","4.242640495300293","14.600000381469727",,,"0"
"P","2017-05-11T12:26:57Z","38.303418","-85.479981","195.60000610351563","227.6999969482422","3.0","14.5",,,"0"
"P","2017-05-11T12:26:59Z","38.303244","-85.48021","195.1999969482422","228.60000610351563","2.8284270763397217","14.100000381469727",,,"0"
"P","2017-05-11T12:27:01Z","38.303104","-85.480442","194.39999389648438","229.60000610351563","2.4494898319244385","13.5",,,"0"
"P","2017-05-11T12:27:03Z","38.302951","-85.480681","193.39999389648438","229.60000610351563","2.8284270763397217","13.800000190734863",,,"0"
"P","2017-05-11T12:27:05Z","38.302752","-85.480908","192.6999969482422","226.39999389648438","2.8284270763397217","14.699999809265137",,,"0"
"P","2017-05-11T12:27:07Z","38.302561","-85.481144","191.39999389648438","226.1999969482422","2.4494898319244385","14.600000381469727",,,"0"
"P","2017-05-11T12:27:09Z","38.30242","-85.481388","190.89999389648438","230.3000030517578","2.4494898319244385","14.0",,,"0"
"P","2017-05-11T12:27:11Z","38.302241","-85.481658","190.1999969482422","230.5","2.1213202476501465","14.100000381469727",,,"0"
"P","2017-05-11T12:27:13Z","38.302113","-85.4819","189.8000030517578","231.1999969482422","1.7320507764816284","12.899999618530273",,,"0"
"P","2017-05-11T12:27:15Z","38.301983","-85.482107","190.89999389648438","231.0","2.1213202476501465","11.300000190734863",,,"0"
"P","2017-05-11T12:27:18Z","38.301841","-85.482339","189.60000610351563","233.60000610351563","1.7320507764816284","7.099999904632568",,,"0"
"P","2017-05-11T12:27:36Z","38.301688","-85.482512","188.10000610351563","230.5","3.0","3.200000047683716",,,"0"
"P","2017-05-11T12:27:40Z","38.30155","-85.48275","187.8000030517578","230.89999389648438","2.4494898319244385","7.5",,,"0"
"P","2017-05-11T12:27:44Z","38.301326","-85.483055","188.10000610351563","227.5","2.4494898319244385","11.5",,,"0"
"P","2017-05-11T12:27:45Z","38.301186","-85.483308","188.3000030517578","231.8000030517578","2.0","13.100000381469727",,,"0"
"P","2017-05-11T12:27:47Z","38.30104","-85.483601","186.3000030517578","232.0","2.0","13.899999618530273",,,"0"
"P","2017-05-11T12:27:49Z","38.300882","-85.483872","186.39999389648438","234.10000610351563","2.4494898319244385","14.600000381469727",,,"0"
"P","2017-05-11T12:27:51Z","38.30072","-85.484157","187.8000030517578","235.1999969482422","1.5","14.5",,,"0"
"P","2017-05-11T12:27:53Z","38.30058","-85.48443","187.10000610351563","237.10000610351563","1.5","13.399999618530273",,,"0"
"P","2017-05-11T12:27:55Z","38.300489","-85.48471","186.89999389648438","245.5","1.5","13.399999618530273",,,"0"
"P","2017-05-11T12:27:57Z","38.3004","-85.485015","186.89999389648438","250.89999389648438","1.5","13.699999809265137",,,"0"
"P","2017-05-11T12:27:59Z","38.300326","-85.485337","187.1999969482422","252.39999389648438","1.7320507764816284","14.399999618530273",,,"0"
"P","2017-05-11T12:28:01Z","38.300241","-85.485656","189.0","251.1999969482422","1.7320507764816284","14.300000190734863",,,"0"
"P","2017-05-11T12:28:03Z","38.300156","-85.486004","188.3000030517578","252.0","2.1213202476501465","14.399999618530273",,,"0"
"P","2017-05-11T12:28:05Z","38.300086","-85.48632","188.5","252.8000030517578","2.4494898319244385","14.399999618530273",,,"0"
"P","2017-05-11T12:28:07Z","38.30001","-85.486655","189.0","253.5","2.4494898319244385","14.5",,,"0"
"P","2017-05-11T12:28:09Z","38.299936","-85.486982","188.89999389648438","254.39999389648438","2.4494898319244385","14.899999618530273",,,"0"
"P","2017-05-11T12:28:11Z","38.299869","-85.487312","188.1999969482422","254.39999389648438","2.4494898319244385","15.100000381469727",,,"0"
"P","2017-05-11T12:28:13Z","38.299785","-85.487655","187.39999389648438","253.5","2.4494898319244385","14.699999809265137",,,"0"
"P","2017-05-11T12:28:15Z","38.299675","-85.488008","186.3000030517578","251.1999969482422","2.1213202476501465","15.399999618530273",,,"0"
"P","2017-05-11T12:28:17Z","38.299596","-85.488327","186.8000030517578","252.1999969482422","2.1213202476501465","15.199999809265137",,,"0"
"P","2017-05-11T12:28:19Z","38.299503","-85.488698","185.8000030517578","251.6999969482422","2.1213202476501465","15.199999809265137",,,"0"
"P","2017-05-11T12:28:21Z","38.299421","-85.488999","185.5","255.6999969482422","2.1213202476501465","14.100000381469727",,,"0"
"P","2017-05-11T12:28:23Z","38.299383","-85.489259","184.6999969482422","258.1000061035156","2.1213202476501465","13.199999809265137",,,"0"
"P","2017-05-11T12:28:25Z","38.299338","-85.489548","184.0","257.70001220703125","2.1213202476501465","12.800000190734863",,,"0"
"P","2017-05-11T12:28:27Z","38.299249","-85.48987","184.89999389648438","254.10000610351563","2.4494898319244385","13.5",,,"0"
"P","2017-05-11T12:28:30Z","38.299132","-85.490205","186.10000610351563","253.0","1.7320507764816284","13.100000381469727",,,"0"
"P","2017-05-11T12:28:32Z","38.299045","-85.490484","186.89999389648438","252.1999969482422","1.2247449159622192","13.0",,,"0"
"P","2017-05-11T12:28:34Z","38.298954","-85.49078","187.1999969482422","248.0","1.2247449159622192","13.800000190734863",,,"0"
"P","2017-05-11T12:28:36Z","38.298858","-85.4911","188.1999969482422","253.1999969482422","1.2247449159622192","14.899999618530273",,,"0"
"P","2017-05-11T12:28:38Z","38.298759","-85.491555","188.89999389648438","255.6999969482422","2.4494898319244385","15.0",,,"0"
"P","2017-05-11T12:28:40Z","38.298712","-85.491887","187.5","255.60000610351563","2.1213202476501465","14.600000381469727",,,"0"
"P","2017-05-11T12:28:42Z","38.298637","-85.492218","187.89999389648438","252.60000610351563","2.1213202476501465","15.100000381469727",,,"0"
"P","2017-05-11T12:28:44Z","38.29855","-85.492578","186.60000610351563","252.5","2.4494898319244385","15.899999618530273",,,"0"
"P","2017-05-11T12:28:46Z","38.298449","-85.492956","186.1999969482422","252.3000030517578","2.4494898319244385","17.299999237060547",,,"0"
"P","2017-05-11T12:28:48Z","38.298341","-85.493328","186.39999389648438","251.0","2.4494898319244385","17.799999237060547",,,"0"
"P","2017-05-11T12:28:50Z","38.298226","-85.493728","186.39999389648438","250.5","2.8284270763397217","18.299999237060547",,,"0"
"P","2017-05-11T12:28:52Z","38.298158","-85.494151","185.10000610351563","253.5","2.1213202476501465","18.399999618530273",,,"0"
"P","2017-05-11T12:28:53Z","38.298099","-85.49437","185.5","253.6999969482422","2.1213202476501465","18.600000381469727",,,"0"
"P","2017-05-11T12:28:55Z","38.297997","-85.494764","186.0","251.1999969482422","2.1213202476501465","18.399999618530273",,,"0"
"P","2017-05-11T12:28:57Z","38.297881","-85.495162","185.8000030517578","252.8000030517578","2.1213202476501465","17.600000381469727",,,"0"
"P","2017-05-11T12:28:59Z","38.297783","-85.495508","186.5","253.89999389648438","1.7320507764816284","16.0",,,"0"
"P","2017-05-11T12:29:01Z","38.29777","-85.495857","186.3000030517578","266.1000061035156","2.4494898319244385","15.800000190734863",,,"0"
"P","2017-05-11T12:29:03Z","38.297757","-85.496226","186.5","267.1000061035156","2.4494898319244385","16.0",,,"0"
"P","2017-05-11T12:29:05Z","38.29775","-85.49666","188.1999969482422","267.0","2.4494898319244385","17.299999237060547",,,"0"
"P","2017-05-11T12:29:07Z","38.297751","-85.497056","189.8000030517578","268.1000061035156","2.4494898319244385","17.200000762939453",,,"0"
"P","2017-05-11T12:29:09Z","38.297742","-85.497447","190.1999969482422","268.3999938964844","2.4494898319244385","16.600000381469727",,,"0"
"P","2017-05-11T12:29:11Z","38.29775","-85.497813","190.8000030517578","270.6000061035156","2.4494898319244385","15.300000190734863",,,"0"
"P","2017-05-11T12:29:13Z","38.297763","-85.498155","190.3000030517578","271.79998779296875","2.4494898319244385","14.699999809265137",,,"0"
"P","2017-05-11T12:29:15Z","38.297737","-85.498557","192.3000030517578","268.0","1.7320507764816284","15.899999618530273",,,"0"
"P","2017-05-11T12:29:17Z","38.297708","-85.498973","193.89999389648438","268.29998779296875","1.7320507764816284","16.899999618530273",,,"0"
"P","2017-05-11T12:29:19Z","38.297683","-85.49939","195.1999969482422","268.0","1.7320507764816284","17.0",,,"0"
"P","2017-05-11T12:29:21Z","38.297682","-85.499769","195.60000610351563","269.5","1.7320507764816284","16.299999237060547",,,"0"
"P","2017-05-11T12:29:24Z","38.29766","-85.50022","196.60000610351563","267.1000061035156","1.7320507764816284","16.600000381469727",,,"0"
"P","2017-05-11T12:29:25Z","38.297636","-85.500461","198.10000610351563","266.6000061035156","1.5","17.5",,,"0"
"P","2017-05-11T12:29:27Z","38.297614","-85.500876","199.0","267.0","1.7320507764816284","17.0",,,"0"
"P","2017-05-11T12:29:29Z","38.297622","-85.501256","199.8000030517578","268.29998779296875","4.0","16.799999237060547",,,"0"
"P","2017-05-11T12:29:31Z","38.297586","-85.501789","199.6999969482422","266.70001220703125","3.0","16.299999237060547",,,"0"
