"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"Home To Work Via I64 Lite","",
"P","2017-05-03T11:25:52Z","38.301038","-85.471909","172.5","28.700000762939453","1.5","3.4000000953674316",,,"0"
"P","2017-05-03T11:26:09Z","38.301242","-85.47222","180.10000610351563","294.6000061035156","1.5","8.600000381469727",,,"0"
"P","2017-05-03T11:26:11Z","38.301333","-85.472429","182.10000610351563","294.1000061035156","1.5","10.199999809265137",,,"0"
"P","2017-05-03T11:26:13Z","38.301424","-85.472651","183.39999389648438","294.20001220703125","1.5","10.800000190734863",,,"0"
"P","2017-05-03T11:26:14Z","38.301515","-85.472902","183.10000610351563","294.8999938964844","1.5","11.399999618530273",,,"0"
"P","2017-05-03T11:26:16Z","38.301594","-85.473147","183.1999969482422","293.5","1.5","11.800000190734863",,,"0"
"P","2017-05-03T11:26:18Z","38.301665","-85.473452","183.6999969482422","291.0","1.7320507764816284","12.5",,,"0"
"P","2017-05-03T11:26:20Z","38.301752","-85.473716","183.8000030517578","292.5","1.5","12.300000190734863",,,"0"
"P","2017-05-03T11:26:22Z","38.301852","-85.47396","184.1999969482422","295.1000061035156","1.5","12.199999809265137",,,"0"
"P","2017-05-03T11:26:24Z","38.301949","-85.474231","184.8000030517578","293.6000061035156","1.5","12.100000381469727",,,"0"
"P","2017-05-03T11:26:26Z","38.302003","-85.474452","183.39999389648438","292.3999938964844","1.5","11.0",,,"0"
"P","2017-05-03T11:26:29Z","38.302109","-85.474753","184.0","291.5","1.5","9.300000190734863",,,"0"
"P","2017-05-03T11:26:33Z","38.302219","-85.474973","186.39999389648438","323.0","2.0","5.099999904632568",,,"0"
"P","2017-05-03T11:26:37Z","38.302511","-85.474887","187.8000030517578","20.899999618530273","1.7320507764816284","8.800000190734863",,,"0"
"P","2017-05-03T11:26:39Z","38.30271","-85.474795","189.3000030517578","22.0","1.5","10.300000190734863",,,"0"
"P","2017-05-03T11:26:42Z","38.302944","-85.474669","187.5","24.0","1.5","9.600000381469727",,,"0"
"P","2017-05-03T11:26:45Z","38.303148","-85.474555","188.0","24.200000762939453","1.7320507764816284","7.300000190734863",,,"0"
"P","2017-05-03T11:26:50Z","38.303334","-85.47455","189.60000610351563","321.0","1.5","5.0",,,"0"
"P","2017-05-03T11:26:54Z","38.303416","-85.474868","189.5","291.3999938964844","1.7320507764816284","8.899999618530273",,,"0"
"P","2017-05-03T11:26:57Z","38.303488","-85.47525","189.5","289.1000061035156","1.5","11.100000381469727",,,"0"
"P","2017-05-03T11:26:59Z","38.303552","-85.475498","189.8000030517578","289.3999938964844","1.5","11.5",,,"0"
"P","2017-05-03T11:27:01Z","38.303641","-85.475743","189.89999389648438","290.8999938964844","1.5","11.899999618530273",,,"0"
"P","2017-05-03T11:27:03Z","38.30371","-85.476003","189.6999969482422","289.6000061035156","1.5","12.199999809265137",,,"0"
"P","2017-05-03T11:27:05Z","38.30377","-85.476278","189.60000610351563","288.1000061035156","1.5","12.399999618530273",,,"0"
"P","2017-05-03T11:27:07Z","38.303841","-85.476543","189.39999389648438","289.5","1.5","11.600000381469727",,,"0"
"P","2017-05-03T11:27:09Z","38.303974","-85.476765","191.3000030517578","295.5","1.7320507764816284","11.100000381469727",,,"0"
"P","2017-05-03T11:27:11Z","38.304118","-85.476966","193.10000610351563","305.3999938964844","1.7320507764816284","11.399999618530273",,,"0"
"P","2017-05-03T11:27:13Z","38.304273","-85.477161","193.6999969482422","314.79998779296875","1.7320507764816284","11.199999809265137",,,"0"
"P","2017-05-03T11:27:15Z","38.304458","-85.47729","194.60000610351563","324.8999938964844","1.7320507764816284","11.300000190734863",,,"0"
"P","2017-05-03T11:27:18Z","38.304686","-85.477494","194.39999389648438","325.20001220703125","2.1213202476501465","9.600000381469727",,,"0"
"P","2017-05-03T11:27:22Z","38.304862","-85.47763","196.0","332.29998779296875","3.464101552963257","3.9000000953674316",,,"0"
"P","2017-05-03T11:27:27Z","38.304834","-85.477879","194.60000610351563","250.6999969482422","2.4494898319244385","5.599999904632568",,,"0"
"P","2017-05-03T11:27:29Z","38.304721","-85.478089","193.0","239.39999389648438","2.4494898319244385","8.800000190734863",,,"0"
"P","2017-05-03T11:27:31Z","38.304548","-85.478283","192.10000610351563","228.39999389648438","2.4494898319244385","11.0",,,"0"
"P","2017-05-03T11:27:33Z","38.30439","-85.478504","191.60000610351563","231.60000610351563","2.4494898319244385","11.699999809265137",,,"0"
"P","2017-05-03T11:27:35Z","38.304216","-85.478748","190.8000030517578","229.1999969482422","2.4494898319244385","12.800000190734863",,,"0"
"P","2017-05-03T11:27:37Z","38.304045","-85.478931","188.89999389648438","226.6999969482422","2.4494898319244385","12.5",,,"0"
"P","2017-05-03T11:27:39Z","38.303896","-85.479178","189.39999389648438","228.60000610351563","2.4494898319244385","13.199999809265137",,,"0"
"P","2017-05-03T11:27:41Z","38.303725","-85.479421","188.3000030517578","228.89999389648438","1.7320507764816284","13.399999618530273",,,"0"
"P","2017-05-03T11:27:43Z","38.30357","-85.479645","188.1999969482422","228.3000030517578","1.7320507764816284","13.300000190734863",,,"0"
"P","2017-05-03T11:27:45Z","38.303401","-85.479885","185.8000030517578","228.8000030517578","1.7320507764816284","13.600000381469727",,,"0"
"P","2017-05-03T11:27:47Z","38.303237","-85.480117","185.60000610351563","228.3000030517578","1.7320507764816284","13.5",,,"0"
"P","2017-05-03T11:27:49Z","38.303083","-85.480367","186.3000030517578","230.3000030517578","2.1213202476501465","13.699999809265137",,,"0"
"P","2017-05-03T11:27:51Z","38.302903","-85.480618","185.39999389648438","228.39999389648438","1.7320507764816284","13.899999618530273",,,"0"
"P","2017-05-03T11:27:53Z","38.30273","-85.480847","184.60000610351563","228.6999969482422","1.7320507764816284","13.899999618530273",,,"0"
"P","2017-05-03T11:27:55Z","38.302545","-85.481072","182.3000030517578","228.1999969482422","1.7320507764816284","13.899999618530273",,,"0"
"P","2017-05-03T11:27:57Z","38.302357","-85.481313","180.60000610351563","229.6999969482422","1.7320507764816284","14.199999809265137",,,"0"
"P","2017-05-03T11:27:59Z","38.302186","-85.481565","180.1999969482422","229.89999389648438","2.1213202476501465","14.0",,,"0"
"P","2017-05-03T11:28:01Z","38.302057","-85.481784","181.60000610351563","231.6999969482422","2.1213202476501465","12.800000190734863",,,"0"
"P","2017-05-03T11:28:03Z","38.301919","-85.481983","180.5","229.89999389648438","2.4494898319244385","11.899999618530273",,,"0"
"P","2017-05-03T11:28:05Z","38.301799","-85.482217","178.89999389648438","232.5","2.4494898319244385","10.699999809265137",,,"0"
"P","2017-05-03T11:28:09Z","38.301648","-85.482433","180.10000610351563","227.0","2.1213202476501465","4.5",,,"0"
"P","2017-05-03T11:28:23Z","38.301516","-85.482715","180.3000030517578","238.0","1.7320507764816284","7.900000095367432",,,"0"
"P","2017-05-03T11:28:25Z","38.301405","-85.482933","179.60000610351563","236.60000610351563","2.4494898319244385","10.899999618530273",,,"0"
"P","2017-05-03T11:28:28Z","38.301154","-85.483301","178.39999389648438","231.1999969482422","1.7320507764816284","13.0",,,"0"
"P","2017-05-03T11:28:31Z","38.300978","-85.483569","180.1999969482422","230.1999969482422","1.7320507764816284","13.100000381469727",,,"0"
"P","2017-05-03T11:28:33Z","38.300839","-85.483808","181.0","233.39999389648438","1.2247449159622192","13.300000190734863",,,"0"
"P","2017-05-03T11:28:35Z","38.300697","-85.48407","182.1999969482422","235.60000610351563","1.2247449159622192","13.600000381469727",,,"0"
"P","2017-05-03T11:28:37Z","38.300523","-85.484429","184.0","238.3000030517578","1.2247449159622192","13.5",,,"0"
"P","2017-05-03T11:28:39Z","38.300419","-85.484728","184.0","248.0","1.2247449159622192","13.899999618530273",,,"0"
"P","2017-05-03T11:28:41Z","38.300344","-85.485025","183.89999389648438","250.60000610351563","1.5","13.800000190734863",,,"0"
"P","2017-05-03T11:28:43Z","38.300261","-85.485356","183.8000030517578","251.6999969482422","1.7320507764816284","14.600000381469727",,,"0"
"P","2017-05-03T11:28:45Z","38.300193","-85.485667","183.6999969482422","252.5","2.0","14.0",,,"0"
"P","2017-05-03T11:28:48Z","38.300113","-85.486096","184.10000610351563","255.5","2.1213202476501465","13.800000190734863",,,"0"
"P","2017-05-03T11:28:50Z","38.30002","-85.486446","183.89999389648438","256.5","1.7320507764816284","14.199999809265137",,,"0"
"P","2017-05-03T11:28:52Z","38.299929","-85.486806","183.5","256.0","1.7320507764816284","14.800000190734863",,,"0"
"P","2017-05-03T11:28:54Z","38.299853","-85.487134","183.1999969482422","254.60000610351563","2.1213202476501465","14.699999809265137",,,"0"
"P","2017-05-03T11:28:56Z","38.299745","-85.48745","182.60000610351563","249.8000030517578","2.4494898319244385","15.0",,,"0"
"P","2017-05-03T11:28:58Z","38.299655","-85.487746","183.5","251.10000610351563","2.0","14.0",,,"0"
"P","2017-05-03T11:29:00Z","38.299586","-85.488082","184.5","252.10000610351563","2.0","14.600000381469727",,,"0"
"P","2017-05-03T11:29:02Z","38.2995","-85.488433","184.8000030517578","252.3000030517578","2.0","15.300000190734863",,,"0"
"P","2017-05-03T11:29:04Z","38.299442","-85.488768","184.6999969482422","254.0","1.7320507764816284","15.100000381469727",,,"0"
"P","2017-05-03T11:29:06Z","38.29935","-85.489094","184.3000030517578","252.8000030517578","1.7320507764816284","14.800000190734863",,,"0"
"P","2017-05-03T11:29:08Z","38.29928","-85.489445","183.60000610351563","254.10000610351563","1.7320507764816284","15.5",,,"0"
"P","2017-05-03T11:29:10Z","38.299222","-85.489752","182.8000030517578","255.0","1.7320507764816284","13.800000190734863",,,"0"
"P","2017-05-03T11:29:12Z","38.299142","-85.490092","181.3000030517578","253.10000610351563","1.7320507764816284","14.699999809265137",,,"0"
"P","2017-05-03T11:29:14Z","38.299039","-85.490419","180.6999969482422","252.6999969482422","1.7320507764816284","14.300000190734863",,,"0"
"P","2017-05-03T11:29:16Z","38.298961","-85.490739","180.1999969482422","250.60000610351563","1.7320507764816284","14.100000381469727",,,"0"
"P","2017-05-03T11:29:18Z","38.298884","-85.491047","180.39999389648438","251.89999389648438","1.7320507764816284","14.0",,,"0"
"P","2017-05-03T11:29:20Z","38.298832","-85.491337","181.39999389648438","256.79998779296875","1.7320507764816284","13.899999618530273",,,"0"
"P","2017-05-03T11:29:22Z","38.298769","-85.491635","184.60000610351563","258.79998779296875","2.1213202476501465","13.199999809265137",,,"0"
"P","2017-05-03T11:29:24Z","38.298694","-85.491938","184.60000610351563","254.60000610351563","2.1213202476501465","13.399999618530273",,,"0"
