"TYPE","TIME","LAT","LON","ALT","BEARING","ACCURACY","SPEED","NAME","DESCRIPTION","SEGMENT"
"TRACK",,,,,,,,"Work Home Via Ward Weekend 20","",
"P","2017-05-14T19:44:44Z","38.245703","-85.578435","163.10000610351563","306.1000061035156","2.4494898319244385","4.099999904632568",,,"0"
"P","2017-05-14T19:44:47Z","38.245729","-85.57867","160.0","281.20001220703125","2.8284270763397217","5.599999904632568",,,"0"
"P","2017-05-14T19:44:50Z","38.245756","-85.578915","157.6999969482422","270.70001220703125","2.4494898319244385","6.0",,,"0"
"P","2017-05-14T19:44:54Z","38.245605","-85.579093","155.60000610351563","200.6999969482422","2.1213202476501465","5.300000190734863",,,"0"
"P","2017-05-14T19:45:01Z","38.245469","-85.579267","157.5","275.3999938964844","3.464101552963257","4.300000190734863",,,"0"
"P","2017-05-14T19:45:05Z","38.245471","-85.579725","157.3000030517578","279.8999938964844","4.242640495300293","7.900000095367432",,,"0"
"P","2017-05-14T19:45:07Z","38.245423","-85.579968","154.6999969482422","275.1000061035156","3.0","7.599999904632568",,,"0"
"P","2017-05-14T19:45:10Z","38.245449","-85.580272","155.0","276.20001220703125","3.0","8.300000190734863",,,"0"
"P","2017-05-14T19:45:12Z","38.245498","-85.580508","154.60000610351563","278.20001220703125","3.0","10.0",,,"0"
"P","2017-05-14T19:45:14Z","38.245528","-85.580736","154.3000030517578","278.1000061035156","2.4494898319244385","10.800000190734863",,,"0"
"P","2017-05-14T19:45:16Z","38.24557","-85.58097","151.5","278.70001220703125","2.4494898319244385","10.199999809265137",,,"0"
"P","2017-05-14T19:45:21Z","38.24566","-85.581194","152.39999389648438","326.8999938964844","2.4494898319244385","4.900000095367432",,,"0"
"P","2017-05-14T19:45:25Z","38.245969","-85.581193","152.3000030517578","5.099999904632568","2.4494898319244385","9.699999809265137",,,"0"
"P","2017-05-14T19:45:27Z","38.246187","-85.581157","151.10000610351563","5.199999809265137","2.0","11.0",,,"0"
"P","2017-05-14T19:45:29Z","38.246384","-85.581121","148.8000030517578","5.5","1.7320507764816284","10.199999809265137",,,"0"
"P","2017-05-14T19:45:32Z","38.246563","-85.581095","149.60000610351563","15.0","1.7320507764816284","5.300000190734863",,,"0"
"P","2017-05-14T19:45:40Z","38.246653","-85.58082","150.0","84.0","1.5","8.100000381469727",,,"0"
"P","2017-05-14T19:45:42Z","38.246625","-85.580528","148.89999389648438","92.5999984741211","1.5","13.300000190734863",,,"0"
"P","2017-05-14T19:45:44Z","38.246611","-85.580115","149.60000610351563","93.5","1.7320507764816284","17.799999237060547",,,"0"
"P","2017-05-14T19:45:46Z","38.246582","-85.579658","148.1999969482422","94.0","1.7320507764816284","19.299999237060547",,,"0"
"P","2017-05-14T19:45:48Z","38.246541","-85.579194","147.89999389648438","94.0","2.1213202476501465","19.100000381469727",,,"0"
"P","2017-05-14T19:45:50Z","38.246495","-85.578803","148.1999969482422","95.4000015258789","2.8284270763397217","17.200000762939453",,,"0"
"P","2017-05-14T19:45:52Z","38.246469","-85.578445","146.60000610351563","92.69999694824219","4.242640495300293","15.100000381469727",,,"0"
"P","2017-05-14T19:45:54Z","38.246459","-85.578153","147.3000030517578","92.0999984741211","2.8284270763397217","12.300000190734863",,,"0"
"P","2017-05-14T19:45:57Z","38.246462","-85.577878","148.5","86.0999984741211","2.4494898319244385","6.5",,,"0"
"P","2017-05-14T19:46:38Z","38.246413","-85.577815","154.1999969482422","98.9000015258789","2.4494898319244385","0.0",,,"0"
"P","2017-05-14T19:47:33Z","38.246384","-85.577599","156.0","98.4000015258789","2.1213202476501465","5.0",,,"0"
"P","2017-05-14T19:47:34Z","38.246385","-85.577473","157.0","97.30000305175781","2.1213202476501465","6.900000095367432",,,"0"
"P","2017-05-14T19:47:36Z","38.246367","-85.577197","158.5","97.80000305175781","1.7320507764816284","10.600000381469727",,,"0"
"P","2017-05-14T19:47:38Z","38.246333","-85.576877","158.0","97.5999984741211","1.7320507764816284","12.600000381469727",,,"0"
"P","2017-05-14T19:47:40Z","38.246302","-85.57656","158.3000030517578","96.30000305175781","1.5","13.699999809265137",,,"0"
"P","2017-05-14T19:47:42Z","38.246277","-85.57622","156.89999389648438","95.9000015258789","1.2247449159622192","14.5",,,"0"
"P","2017-05-14T19:47:44Z","38.246251","-85.575886","155.6999969482422","95.5","1.2247449159622192","14.100000381469727",,,"0"
"P","2017-05-14T19:47:46Z","38.246222","-85.575573","156.0","95.80000305175781","1.2247449159622192","13.399999618530273",,,"0"
"P","2017-05-14T19:47:48Z","38.246208","-85.575296","157.1999969482422","94.4000015258789","1.5","12.5",,,"0"
"P","2017-05-14T19:47:50Z","38.246184","-85.575012","158.1999969482422","95.4000015258789","1.2247449159622192","11.899999618530273",,,"0"
"P","2017-05-14T19:47:52Z","38.24617","-85.574777","159.0","94.69999694824219","1.2247449159622192","10.699999809265137",,,"0"
"P","2017-05-14T19:47:55Z","38.246134","-85.574498","157.8000030517578","96.69999694824219","1.2247449159622192","7.5",,,"0"
"P","2017-05-14T19:48:00Z","38.246127","-85.5742","157.6999969482422","92.5","1.7320507764816284","4.199999809265137",,,"0"
"P","2017-05-14T19:48:06Z","38.246115","-85.573928","157.0","96.69999694824219","1.2247449159622192","5.800000190734863",,,"0"
"P","2017-05-14T19:48:09Z","38.246083","-85.573609","156.8000030517578","98.0","1.2247449159622192","9.800000190734863",,,"0"
"P","2017-05-14T19:48:11Z","38.24606","-85.573341","156.89999389648438","96.9000015258789","1.2247449159622192","12.100000381469727",,,"0"
"P","2017-05-14T19:48:13Z","38.246026","-85.573023","155.1999969482422","97.0999984741211","1.2247449159622192","13.699999809265137",,,"0"
"P","2017-05-14T19:48:15Z","38.245998","-85.572674","155.1999969482422","95.30000305175781","1.2247449159622192","15.0",,,"0"
"P","2017-05-14T19:48:17Z","38.24597","-85.572312","155.89999389648438","95.80000305175781","1.2247449159622192","15.899999618530273",,,"0"
"P","2017-05-14T19:48:19Z","38.245941","-85.571923","156.10000610351563","96.5999984741211","1.2247449159622192","17.100000381469727",,,"0"
"P","2017-05-14T19:48:22Z","38.245915","-85.571317","158.3000030517578","94.69999694824219","1.2247449159622192","17.899999618530273",,,"0"
"P","2017-05-14T19:48:24Z","38.24589","-85.570904","159.3000030517578","95.5","1.2247449159622192","18.200000762939453",,,"0"
"P","2017-05-14T19:48:26Z","38.245845","-85.570468","157.8000030517578","95.9000015258789","1.2247449159622192","19.0",,,"0"
"P","2017-05-14T19:48:28Z","38.245808","-85.570027","159.39999389648438","96.5","1.2247449159622192","19.299999237060547",,,"0"
"P","2017-05-14T19:48:30Z","38.245776","-85.56958","159.10000610351563","95.5","1.2247449159622192","19.299999237060547",,,"0"
"P","2017-05-14T19:48:32Z","38.245746","-85.569159","158.89999389648438","95.9000015258789","1.2247449159622192","18.399999618530273",,,"0"
"P","2017-05-14T19:48:34Z","38.245725","-85.568751","159.60000610351563","95.19999694824219","1.2247449159622192","17.700000762939453",,,"0"
"P","2017-05-14T19:48:36Z","38.245692","-85.568342","159.89999389648438","96.0999984741211","1.2247449159622192","17.299999237060547",,,"0"
