GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),GPS Altitude(ft),Speed (GPS)(mph),Run time since engine start(s),Speed (OBD)(mph),Miles Per Gallon(Long Term Average)(mpg)
Sun Dec 30 18:34:05 EST 2012,30-Dec-2012 18:34:07.993,-85.47210991666667,38.30081015,0.0,3.0,207.2,0.0,-0.35303938,9.90471649,-0.22555295,0.00520003,0,679.79003906,0,331,0,0
Sun Dec 30 18:34:10 EST 2012,30-Dec-2012 18:34:13.010,-85.47210978333334,38.30081011666667,0.0,2.0,207.2,0.0,-0.80414528,10.51272869,-0.23535959,0.06967437,0,679.79003906,0,536,0,0
GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),GPS Altitude(ft),Speed (GPS)(mph),Run time since engine start(s),Speed (OBD)(mph),Miles Per Gallon(Long Term Average)(mpg)
Sun Dec 30 18:34:13 EST 2012,30-Dec-2012 18:34:16.029,-85.4721097,38.30081,0.0,2.0,207.2,0.0,0.52955908,9.62032318,-0.40207264,-0.02235341,0,679.79003906,0,541,0,0
Sun Dec 30 18:34:17 EST 2012,30-Dec-2012 18:34:21.001,-85.47210965,38.30080983333333,0.0,3.0,207.2,0.0,0.30400613,9.76742363,-0.26477954,0.03833526,0,679.79003906,0,543,0,0
Sun Dec 30 18:34:24 EST 2012,30-Dec-2012 18:34:26.010,-85.47210953333334,38.3008096,0.0,3.0,207.2,0.0,-0.94143838,10.14007568,-0.1372931,0.03282881,0,679.79003906,0,548,0,0
Sun Dec 30 18:34:29 EST 2012,30-Dec-2012 18:34:31.002,-85.47210941666667,38.30080951666667,0.0,3.0,207.2,0.0,-0.66685218,9.85568333,-0.2745862,0.00198507,0,679.79003906,0,548,0,0
Sun Dec 30 18:34:34 EST 2012,30-Dec-2012 18:34:35.999,-85.47210926666666,38.3008096,0.0,3.0,207.2,0.0,-0.50994581,10.27736855,0.1176798,0.04364169,3.72025275,679.79003906,0,559,1.86411357,0.0070593
Sun Dec 30 18:34:38 EST 2012,30-Dec-2012 18:34:41.017,-85.4719774,38.30087415,1.9034444,3.0,209.9,33.2,0.8531785,9.17902374,1.21602452,-0.05750394,10.4046793,688.64825439,4.25788403,564,4.34959841,0.10608279
Sun Dec 30 18:34:43 EST 2012,30-Dec-2012 18:34:45.999,-85.4719427,38.30095918333333,1.749111,2.0,208.5,25.0,-0.62762558,9.72819614,0.31381279,-0.0111202,11.70188618,684.05511475,3.91264987,569,4.97096968,0.21334562
