GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),GPS Altitude(ft),Speed (GPS)(mph),Run time since engine start(s),Speed (OBD)(mph),Miles Per Gallon(Long Term Average)(mpg)
Fri Jan 04 08:07:14 EST 2013,04-Jan-2013 08:07:16.728,-85.47210931666666,38.30087856666667,0.0,4.0,195.5,0.0,-1.33370435,9.92432976,0.98066497,0.02027428,0,641.4041748,-,0,0,31.63469505
Fri Jan 04 08:07:17 EST 2013,04-Jan-2013 08:07:21.775,-85.47211031666667,38.30088655,0.0,3.0,195.5,0.0,-1.33370435,9.92432976,0.98066497,0.02027428,0,641.4041748,0,15,0,31.63460159
Fri Jan 04 08:07:23 EST 2013,04-Jan-2013 08:07:26.705,-85.47211073333334,38.300896116666664,0.0,3.0,196.5,0.0,-0.1569064,10.3362093,1.02969825,0.05361843,0,644.68505859,0,22,0,31.63441467
Fri Jan 04 08:07:29 EST 2013,04-Jan-2013 08:07:31.694,-85.47211038333333,38.300896466666664,0.0,3.0,196.7,0.0,-0.02941995,10.51272869,0.78453195,0.06926024,0,645.34118652,0,27,0,31.63418007
Fri Jan 04 08:07:33 EST 2013,04-Jan-2013 08:07:36.698,-85.47211035,38.3008965,0.0,2.0,196.7,0.0,0.1569064,10.55195522,0.94143838,0.07466578,0,645.34118652,0,31,0,31.63394737
Fri Jan 04 08:07:39 EST 2013,04-Jan-2013 08:07:41.697,-85.4721103,38.300896533333336,0.0,2.0,196.7,0.0,-0.1569064,10.27736855,0.5491724,0.04390073,0,645.34118652,0,37,0,31.63371277
Fri Jan 04 08:07:44 EST 2013,04-Jan-2013 08:07:46.698,-85.47211025,38.3008965,0.0,2.0,196.8,0.0,0.2549729,10.49311543,1.00027823,0.06944013,0,645.66931152,0,42,0,31.63347816
Fri Jan 04 08:07:49 EST 2013,04-Jan-2013 08:07:51.691,-85.47211021666666,38.300896433333335,0.0,2.0,196.8,0.0,-0.08825985,10.26756191,1.05911815,0.04687667,0,645.66931152,0,47,0,31.63324547
Fri Jan 04 08:07:54 EST 2013,04-Jan-2013 08:07:56.696,-85.47211016666667,38.300896316666666,0.0,3.0,196.8,0.0,-0.4314926,9.57129002,-0.2745862,-0.00376582,0,645.66931152,0,52,0,31.63296509
Fri Jan 04 08:07:59 EST 2013,04-Jan-2013 08:08:01.702,-85.47211015,38.300896216666665,0.0,3.0,196.8,0.0,0.19613299,10.70886135,1.05911815,0.09177732,0,645.66931152,0,57,0,31.6326828
Fri Jan 04 08:08:04 EST 2013,04-Jan-2013 08:08:06.696,-85.47211015,38.300896183333336,0.0,2.0,196.8,0.0,0.04903325,10.69905472,1.41215754,0.09473991,0,645.66931152,0,62,0,31.63240242
Fri Jan 04 08:08:09 EST 2013,04-Jan-2013 08:08:11.703,-85.47211018333333,38.300896116666664,0.0,3.0,196.8,0.0,0.17651969,10.59118176,1.0983448,0.08021247,0,645.66931152,0,67,0,31.63212204
Fri Jan 04 08:08:14 EST 2013,04-Jan-2013 08:08:16.693,-85.4721102,38.300896,0.0,3.0,196.9,0.0,0.23535959,9.68896961,0.58839899,-0.01558483,0,645.99737549,0,72,0,31.63179588
Fri Jan 04 08:08:19 EST 2013,04-Jan-2013 08:08:21.693,-85.47211021666666,38.3008959,0.0,2.0,196.9,0.0,-0.20593965,9.61051655,0.4314926,-0.02448088,0,645.99737549,0,77,0,31.6315155
Fri Jan 04 08:08:24 EST 2013,04-Jan-2013 08:08:26.692,-85.47211025,38.30089585,0.0,2.0,196.9,0.0,0.1176798,10.82654095,1.60829055,0.11044014,0,645.99737549,0,82,0,31.63123512
Fri Jan 04 08:08:29 EST 2013,04-Jan-2013 08:08:31.692,-85.47211028333334,38.300895866666664,0.0,2.0,196.9,0.0,0.2745862,10.3950491,0.94143838,0.05898511,0,645.99737549,0,87,0,31.63095474
Fri Jan 04 08:08:34 EST 2013,04-Jan-2013 08:08:36.692,-85.4721103,38.3008958,0.0,2.0,196.9,0.0,-0.09806649,10.57156849,1.29447782,0.08036888,0,645.99737549,0,92,0,31.63062859
Fri Jan 04 08:08:39 EST 2013,04-Jan-2013 08:08:41.692,-85.47211026666666,38.30089568333333,0.0,2.0,196.9,0.0,-0.4314926,9.41438389,-0.50994581,-0.04327279,0,645.99737549,0,97,0,31.63034821
Fri Jan 04 08:08:44 EST 2013,04-Jan-2013 08:08:46.693,-85.4721102,38.3008955,0.0,2.0,196.9,0.0,0.12748645,9.41438389,-0.1176798,0.11104584,0,645.99737549,0,102,0,31.63006783
Fri Jan 04 08:08:49 EST 2013,04-Jan-2013 08:08:51.691,-85.47211016666667,38.30089541666667,0.0,2.0,197.0,0.0,-0.28439283,9.57129002,0.0392266,-0.02925235,0,646.32543945,0,107,0,31.62974167
Fri Jan 04 08:08:54 EST 2013,04-Jan-2013 08:08:56.694,-85.47211015,38.300895366666666,0.0,2.0,197.0,0.0,-0.20593965,10.98344803,1.60829055,-0.04492319,0,646.32543945,0,112,0,31.62946129
